codec,image,size,quality,tile,encode_ms,decode_ms,bytes,bpp,psnr,ms_ssim_proxy,lpips,lpips_status,constraint_status
CAPS,kodak_12,1024,100,32,63.0885,31.9827,1555684,11.868927001953125,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_12,1024,90,32,46.491,26.349,930215,7.096977233886719,41.218799882516194,0.9992570771573203,,unavailable,unverified_lpips
CAPS,kodak_12,1024,82,32,33.7755,21.311,461361,3.5199050903320312,38.08839434797897,0.9983573160534717,,unavailable,unverified_lpips
CAPS,kodak_12,1024,82,64,33.2641,20.7576,391967,2.9904708862304688,38.08839434797897,0.9983573160534717,,unavailable,unverified_lpips
CAPS,kodak_12,1024,70,32,30.1346,19.832,338542,2.5828704833984375,35.91063811479068,0.9970238619677722,,unavailable,unverified_lpips
CAPS,kodak_12,1024,50,32,28.2846,18.8235,254623,1.9426193237304688,33.70932141457231,0.9945321390078133,,unavailable,unverified_lpips
CAPS,kodak_12,1024,35,32,28.3977,19.2553,231516,1.766326904296875,32.338924444941924,0.9926612229523105,,unavailable,unverified_lpips
CAPS,kodak_12,1024,20,32,33.2098,18.9057,212764,1.623260498046875,30.47837624278053,0.9884160172745665,,unavailable,unverified_lpips
CAPS,kodak_13,512,100,32,21.9012,8.75338,645859,19.710052490234375,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_13,512,90,32,16.795,8.23325,438818,13.39166259765625,41.99574916576418,0.9995592376545936,,unavailable,unverified_lpips
CAPS,kodak_13,512,82,32,13.9423,7.10971,309728,9.4521484375,38.09737773026319,0.9988350174139843,,unavailable,unverified_lpips
CAPS,kodak_13,512,82,64,13.6686,7.19117,303416,9.259521484375,38.09737773026319,0.9988350174139843,,unavailable,unverified_lpips
CAPS,kodak_13,512,70,32,12.488,7.14254,253603,7.739349365234375,35.80820093946746,0.9978771321704968,,unavailable,unverified_lpips
CAPS,kodak_13,512,50,32,11.6422,6.56533,199245,6.080474853515625,32.983175165216004,0.9957609097775958,,unavailable,unverified_lpips
CAPS,kodak_13,512,35,32,11.0203,6.36587,178774,5.45574951171875,31.484221939217505,0.9938718532956932,,unavailable,unverified_lpips
